t	z_ga	ga1
2
-1	0	-20
32524	0.186988	0.186988
32525	0.187130	0.187130
32526	0.187272	0.187272
32527	0.187415	0.187415
32528	0.187557	0.187557
32529	0.187699	0.187699
32530	0.187841	0.187841
32531	0.187983	0.187983
32532	0.188126	0.188126
32533	0.188268	0.188268
32534	0.188410	0.188410
32535	0.188552	0.188552
32536	0.188695	0.188695
32537	0.188837	0.188837
32538	0.188979	0.188979
32539	0.189121	0.189121
32540	0.189263	0.189263
32541	0.189406	0.189406
32542	0.189548	0.189548
32543	0.189690	0.189690
32544	0.189832	0.189832
32545	0.189974	0.189974
32546	0.190117	0.190117
32547	0.190259	0.190259
32548	0.190401	0.190401
32549	0.190543	0.190543
32550	0.190686	0.190686
32551	0.190828	0.190828
32552	0.190970	0.190970
32553	0.191112	0.191112
32554	0.191254	0.191254
32555	0.191397	0.191397
32556	0.191539	0.191539
32557	0.191681	0.191681
32558	0.193153	0.193153
32559	0.194625	0.194625
32560	0.196096	0.196096
32561	0.197568	0.197568
32562	0.199040	0.199040
32563	0.200512	0.200512
32564	0.201984	0.201984
32565	0.203455	0.203455
32566	0.204927	0.204927
32567	0.206399	0.206399
32568	0.207871	0.207871
32569	0.209343	0.209343
32570	0.210814	0.210814
32571	0.212286	0.212286
32572	0.213758	0.213758
32573	0.215230	0.215230
32574	0.216701	0.216701
32575	0.218173	0.218173
32576	0.219645	0.219645
32577	0.221117	0.221117
32578	0.222589	0.222589
32579	0.224060	0.224060
32580	0.225532	0.225532
32581	0.227004	0.227004
32582	0.228476	0.228476
32583	0.229948	0.229948
32584	0.231419	0.231419
32585	0.232891	0.232891
32586	0.234363	0.234363
32587	0.235547	0.235547
32588	0.236731	0.236731
32589	0.237915	0.237915
32590	0.239099	0.239099
32591	0.240283	0.240283
32592	0.241467	0.241467
32593	0.242650	0.242650
32594	0.243834	0.243834
32595	0.245018	0.245018
32596	0.246202	0.246202
32597	0.247386	0.247386
32598	0.248570	0.248570
32599	0.249754	0.249754
32600	0.250938	0.250938
32601	0.252122	0.252122
32602	0.253306	0.253306
32603	0.254490	0.254490
32604	0.255674	0.255674
32605	0.256858	0.256858
32606	0.258042	0.258042
32607	0.259225	0.259225
32608	0.260409	0.260409
32609	0.261593	0.261593
32610	0.262777	0.262777
32611	0.263961	0.263961
32612	0.265145	0.265145
32613	0.266329	0.266329
32614	0.264764	0.264764
32615	0.263199	0.263199
32616	0.261635	0.261635
32617	0.260070	0.260070
32618	0.258505	0.258505
32619	0.256940	0.256940
32620	0.255376	0.255376
32621	0.253811	0.253811
32622	0.252246	0.252246
32623	0.250681	0.250681
32624	0.249117	0.249117
32625	0.247552	0.247552
32626	0.245987	0.245987
32627	0.244422	0.244422
32628	0.242858	0.242858
32629	0.241293	0.241293
32630	0.239728	0.239728
32631	0.238163	0.238163
32632	0.236598	0.236598
32633	0.235034	0.235034
32634	0.233469	0.233469
32635	0.231904	0.231904
32636	0.230339	0.230339
32637	0.228775	0.228775
32638	0.227210	0.227210
32639	0.225645	0.225645
32640	0.224080	0.224080
32641	0.222516	0.222516
32642	0.220951	0.220951
32643	0.219386	0.219386
32644	0.220850	0.220850
32645	0.222313	0.222313
32646	0.223777	0.223777
32647	0.225240	0.225240
32648	0.226704	0.226704
32649	0.228167	0.228167
32650	0.229631	0.229631
32651	0.231094	0.231094
32652	0.232558	0.232558
32653	0.234021	0.234021
32654	0.235485	0.235485
32655	0.236949	0.236949
32656	0.238412	0.238412
32657	0.239876	0.239876
32658	0.241339	0.241339
32659	0.242803	0.242803
32660	0.244266	0.244266
32661	0.245730	0.245730
32662	0.247193	0.247193
32663	0.248657	0.248657
32664	0.250121	0.250121
32665	0.251584	0.251584
32666	0.253048	0.253048
32667	0.254511	0.254511
32668	0.255975	0.255975
32669	0.257438	0.257438
32670	0.258902	0.258902
32671	0.260365	0.260365
32672	0.261829	0.261829
32673	0.263292	0.263292
32674	0.264756	0.264756
32675	0.265732	0.265732
32676	0.266709	0.266709
32677	0.267685	0.267685
32678	0.268662	0.268662
32679	0.269638	0.269638
32680	0.270615	0.270615
32681	0.271591	0.271591
32682	0.272568	0.272568
32683	0.273544	0.273544
32684	0.274521	0.274521
32685	0.275497	0.275497
32686	0.276474	0.276474
32687	0.277450	0.277450
32688	0.278427	0.278427
32689	0.279403	0.279403
32690	0.280380	0.280380
32691	0.281356	0.281356
32692	0.282333	0.282333
32693	0.283309	0.283309
32694	0.284286	0.284286
32695	0.285262	0.285262
32696	0.286239	0.286239
32697	0.287215	0.287215
32698	0.288192	0.288192
32699	0.289168	0.289168
32700	0.290145	0.290145
32701	0.291121	0.291121
32702	0.292098	0.292098
32703	0.293074	0.293074
32704	0.291099	0.291099
32705	0.289124	0.289124
32706	0.287149	0.287149
32707	0.285173	0.285173
32708	0.283198	0.283198
32709	0.281223	0.281223
32710	0.279248	0.279248
32711	0.277273	0.277273
32712	0.275297	0.275297
