time [d]	InflowQ [m3/s]
1
-1	-1
32873.00000	408.171
32873.04167	402.236
32873.08333	405.434
32873.12500	410.075
32873.16667	410.136
32873.20833	429.155
32873.25000	464.973
32873.29167	477.346
32873.33333	467.606
32873.37500	460.760
32873.41667	455.337
32873.45833	444.890
32873.50000	440.484
32873.54167	444.999
32873.58333	447.899
32873.62500	447.408
32873.66667	449.388
32873.70833	451.566
32873.75000	440.560
32873.79167	427.538
32873.83333	414.862
32873.87500	400.670
32873.91667	392.116
32873.95833	375.717
32874.00000	364.059
32874.04167	362.531
32874.08333	352.359
32874.12500	344.571
32874.16667	350.592
32874.20833	353.219
32874.25000	354.601
32874.29167	360.722
32874.33333	364.878
32874.37500	367.982
32874.41667	378.796
32874.45833	413.477
32874.50000	442.684
32874.54167	442.349
32874.58333	431.926
32874.62500	417.545
32874.66667	403.499
32874.70833	389.863
32874.75000	402.683
32874.79167	433.672
32874.83333	441.790
32874.87500	425.990
32874.91667	404.253
32874.95833	402.140
32875.00000	406.334
32875.04167	399.709
32875.08333	395.792
32875.12500	412.450
32875.16667	430.035
32875.20833	431.761
32875.25000	432.550
32875.29167	435.792
32875.33333	439.029
32875.37500	442.605
32875.41667	445.103
32875.45833	453.289
32875.50000	465.871
32875.54167	470.121
32875.58333	467.574
32875.62500	461.769
32875.66667	461.942
32875.70833	466.878
32875.75000	476.819
32875.79167	496.516
32875.83333	507.463
32875.87500	493.250
32875.91667	477.350
32875.95833	467.626
32876.00000	450.901
32876.04167	445.025
32876.08333	450.739
32876.12500	436.800
32876.16667	411.249
32876.20833	399.496
32876.25000	395.330
32876.29167	398.064
32876.33333	426.254
32876.37500	453.400
32876.41667	465.856
32876.45833	497.039
32876.50000	534.971
32876.54167	552.208
32876.58333	547.021
32876.62500	525.275
32876.66667	515.624
32876.70833	520.431
32876.75000	517.339
32876.79167	527.325
32876.83333	543.147
32876.87500	536.092
32876.91667	518.771
32876.95833	515.351
32877.00000	535.315
32877.04167	535.471
32877.08333	506.408
32877.12500	477.207
32877.16667	464.141
32877.20833	462.531
32877.25000	450.582
32877.29167	442.589
32877.33333	453.291
32877.37500	474.360
32877.41667	515.376
32877.45833	541.529
32877.50000	540.365
32877.54167	541.686
32877.58333	541.368
32877.62500	540.147
32877.66667	539.867
32877.70833	531.539
32877.75000	519.755
32877.79167	508.414
32877.83333	494.041
32877.87500	480.261
32877.91667	467.271
32877.95833	448.466
32878.00000	430.629
32878.04167	419.598
32878.08333	413.634
32878.12500	410.327
32878.16667	408.147
32878.20833	406.948
32878.25000	411.350
32878.29167	424.860
32878.33333	423.308
32878.37500	424.418
32878.41667	466.838
32878.45833	490.212
32878.50000	484.547
32878.54167	483.705
32878.58333	479.035
32878.62500	476.932
32878.66667	477.133
32878.70833	482.446
32878.75000	485.212
32878.79167	479.927
32878.83333	455.510
32878.87500	427.028
32878.91667	412.681
32878.95833	404.325
32879.00000	402.070
32879.04167	403.552
32879.08333	405.121
32879.12500	402.537
32879.16667	400.993
32879.20833	404.913
32879.25000	401.677
32879.29167	396.581
32879.33333	401.613
32879.37500	427.104
32879.41667	449.880
32879.45833	481.892
32879.50000	508.312
32879.54167	503.560
32879.58333	488.392
32879.62500	467.579
32879.66667	465.056
32879.70833	471.389
32879.75000	472.668
32879.79167	464.475
32879.83333	454.582
32879.87500	435.704
32879.91667	411.372
32879.95833	406.254
32880.00000	409.441
32880.04167	407.315
32880.08333	400.168
32880.12500	380.875
32880.16667	366.316
32880.20833	364.836
32880.25000	366.573
32880.29167	362.394
32880.33333	352.428
32880.37500	350.076
32880.41667	361.590
32880.45833	374.168
32880.50000	374.295
32880.54167	372.819
32880.58333	378.367
32880.62500	386.821
32880.66667	398.504
32880.70833	430.511
32880.75000	460.179
32880.79167	466.997
32880.83333	462.383
32880.87500	437.811
32880.91667	388.555
32880.95833	355.108
