time [d]	InflowT [°C]
1
-1	-1
32873.00000	5.3241
32873.04167	5.2400
32873.08333	5.2189
32873.12500	5.2169
32873.16667	5.1899
32873.20833	5.2266
32873.25000	5.3098
32873.29167	5.3151
32873.33333	5.2319
32873.37500	5.1658
32873.41667	5.1656
32873.45833	5.1531
32873.50000	5.1727
32873.54167	5.2281
32873.58333	5.2639
32873.62500	5.3105
32873.66667	5.3513
32873.70833	5.3889
32873.75000	5.4156
32873.79167	5.4075
32873.83333	5.3820
32873.87500	5.3629
32873.91667	5.3348
32873.95833	5.3035
32874.00000	5.2820
32874.04167	5.2838
32874.08333	5.2719
32874.12500	5.2489
32874.16667	5.2515
32874.20833	5.2414
32874.25000	5.2268
32874.29167	5.2303
32874.33333	5.2470
32874.37500	5.2612
32874.41667	5.2846
32874.45833	5.3962
32874.50000	5.5107
32874.54167	5.5698
32874.58333	5.6082
32874.62500	5.6146
32874.66667	5.5523
32874.70833	5.5008
32874.75000	5.5301
32874.79167	5.5799
32874.83333	5.5889
32874.87500	5.5702
32874.91667	5.5727
32874.95833	5.5731
32875.00000	5.6279
32875.04167	5.6135
32875.08333	5.5641
32875.12500	5.5859
32875.16667	5.6411
32875.20833	5.6926
32875.25000	5.6926
32875.29167	5.6981
32875.33333	5.6959
32875.37500	5.6979
32875.41667	5.6476
32875.45833	5.4688
32875.50000	5.4725
32875.54167	5.5103
32875.58333	5.5441
32875.62500	5.5545
32875.66667	5.5441
32875.70833	5.5315
32875.75000	5.5480
32875.79167	5.5455
32875.83333	5.5132
32875.87500	5.4604
32875.91667	5.3717
32875.95833	5.2745
32876.00000	5.2285
32876.04167	5.2496
32876.08333	5.2630
32876.12500	5.2490
32876.16667	5.2483
32876.20833	5.2582
32876.25000	5.2663
32876.29167	5.2890
32876.33333	5.3518
32876.37500	5.4375
32876.41667	5.5418
32876.45833	5.6679
32876.50000	5.7987
32876.54167	5.7081
32876.58333	5.5537
32876.62500	5.4941
32876.66667	5.4673
32876.70833	5.4750
32876.75000	5.4810
32876.79167	5.5241
32876.83333	5.5165
32876.87500	5.4822
32876.91667	5.4373
32876.95833	5.4122
32877.00000	5.4012
32877.04167	5.3765
32877.08333	5.3617
32877.12500	5.3481
32877.16667	5.3157
32877.20833	5.3129
32877.25000	5.3332
32877.29167	5.3321
32877.33333	5.3813
32877.37500	5.4308
32877.41667	5.5215
32877.45833	5.7059
32877.50000	5.8037
32877.54167	5.6359
32877.58333	5.5832
32877.62500	5.6077
32877.66667	5.6423
32877.70833	5.6686
32877.75000	5.6616
32877.79167	5.6287
32877.83333	5.5856
32877.87500	5.5808
32877.91667	5.5933
32877.95833	5.5799
32878.00000	5.5516
32878.04167	5.5320
32878.08333	5.5214
32878.12500	5.5271
32878.16667	5.5590
32878.20833	5.6014
32878.25000	5.6329
32878.29167	5.6399
32878.33333	5.6409
32878.37500	5.6622
32878.41667	5.7007
32878.45833	5.7589
32878.50000	5.8060
32878.54167	5.9034
32878.58333	5.8181
32878.62500	5.5712
32878.66667	5.5801
32878.70833	5.6401
32878.75000	5.6670
32878.79167	5.6654
32878.83333	5.6238
32878.87500	5.5665
32878.91667	5.5456
32878.95833	5.5250
32879.00000	5.4519
32879.04167	5.4486
32879.08333	5.4605
32879.12500	5.4564
32879.16667	5.4645
32879.20833	5.5401
32879.25000	5.5843
32879.29167	5.5578
32879.33333	5.4722
32879.37500	5.5413
32879.41667	5.6318
32879.45833	5.7248
32879.50000	5.9312
32879.54167	6.0732
32879.58333	5.7515
32879.62500	5.5917
32879.66667	5.5686
32879.70833	5.5841
32879.75000	5.5937
32879.79167	5.6295
32879.83333	5.6880
32879.87500	5.6705
32879.91667	5.6450
32879.95833	5.6377
32880.00000	5.6321
32880.04167	5.6403
32880.08333	5.6421
32880.12500	5.6232
32880.16667	5.5923
32880.20833	5.5987
32880.25000	5.6029
