Depth [m]	Area [m2]
 1.0	40000000
 0.0	39300000
-1.0	36309925
-2.0	34026357
-3.0	32349611
-4.0	31180000
-5.0	30417840
-6.0	29963445
-7.0	29717131
-8.0	29579211
-9.0	29450000
-10.0	29248107
-11.0	28965316
-12.0	28611704
-13.0	28197350
-14.0	27732332
-15.0	27226727
-16.0	26690614
-17.0	26134069
-18.0	25567172
-19.0	25000000
-20.0	24440501
-21.0	23888100
-22.0	23340095
-23.0	22793781
-24.0	22246455
-25.0	21695412
-26.0	21137949
-27.0	20571362
-28.0	19992947
-29.0	19400000
-30.0	18790991
-31.0	18169083
-32.0	17538615
-33.0	16903924
-34.0	16269348
-35.0	15639223
-36.0	15017889
-37.0	14409682
-38.0	13818940
-39.0	13250000
-40.0	12706037
-41.0	12185567
-42.0	11685944
-43.0	11204522
-44.0	10738654
-45.0	10285694
-46.0	9842995
-47.0	9407910.7
-48.0	8977794.5
-49.0	8550000
-50.0	8122693.1
-51.0	7697289.9
-52.0	7276018.5
-53.0	6861107.6
-54.0	6454785.4
-55.0	6059280.4
-56.0	5676820.9
-57.0	5309635.5
-58.0	4959952.3
-59.0	4630000
-60.0	4320950.9
-61.0	4029753.9
-62.0	3752301.8
-63.0	3484487.6
-64.0	3222204.2
-65.0	2961344.4
-66.0	2697801.2
-67.0	2427467.5
-68.0	2146236.1
-69.0	1850000
-70.0	1534652.1
-71.0	1196085.2
-72.0	830192.3
-73.0	432866.27
-74.0	1
