t (1st col)	eps_abs [m-1] (2nd col)	z [m] (3rd row)
2		
-1	0	-20
25589	0.116	0.116
25645	0.092	0.092
25680	0.509	0.509
25701	0.445	0.445
25736	0.195	0.195
25757	0.310	0.310
25792	0.317	0.317
25848	0.198	0.198
25876	0.164	0.164
25904	0.121	0.121
25939	0.162	0.162
25967	0.174	0.174
25995	0.136	0.136
26023	0.124	0.124
26079	0.356	0.356
26107	0.356	0.356
26135	0.475	0.475
26163	0.310	0.310
26185	0.264	0.264
26228	0.210	0.210
26248	0.137	0.137
26277	0.124	0.124
26310	0.121	0.121
26338	0.111	0.111
26366	0.098	0.098
26395	0.385	0.385
26422	0.407	0.407
26471	0.158	0.158
26498	0.238	0.238
26554	0.339	0.339
26610	0.158	0.158
26638	0.158	0.158
26674	0.106	0.106
26702	0.089	0.089
26730	0.103	0.103
26758	0.185	0.185
26793	0.648	0.648
26821	0.188	0.188
26849	0.230	0.230
26877	0.178	0.178
26911	0.230	0.230
26961	0.223	0.223
26975	0.150	0.150
27003	0.158	0.158
27038	0.153	0.153
27073	0.124	0.124
27094	0.126	0.126
27122	0.198	0.198
27157	0.396	0.396
27185	0.396	0.396
27250	0.317	0.317
27276	0.356	0.356
27325	0.178	0.178
27339	0.148	0.148
27367	0.178	0.178
27409	0.132	0.132
27430	0.096	0.096
27458	0.104	0.104
27486	0.132	0.132
27521	0.226	0.226
27549	0.140	0.140
27577	0.445	0.445
27612	0.250	0.250
27647	0.264	0.264
27674	0.250	0.250
27703	0.210	0.210
27739	0.176	0.176
27773	0.124	0.124
27794	0.127	0.127
27822	0.127	0.127
27864	0.259	0.259
27885	0.297	0.297
27912	0.242	0.242
27976	0.445	0.445
28011	0.324	0.324
28039	0.274	0.274
28075	0.178	0.178
28095	0.180	0.180
28137	0.136	0.136
28165	0.112	0.112
28192	0.106	0.106
28249	0.317	0.317
28312	0.324	0.324
28340	0.193	0.193
28376	0.324	0.324
28403	0.246	0.246
28460	0.137	0.137
28501	0.137	0.137
28522	0.136	0.136
28557	0.116	0.116
28585	0.174	0.174
28620	0.317	0.317
28641	0.713	0.713
28676	0.303	0.303
28704	0.285	0.285
28739	0.375	0.375
28774	0.183	0.183
28802	0.143	0.143
28829	0.119	0.119
28865	0.136	0.136
28892	0.150	0.150
28921	0.126	0.126
28956	0.147	0.147
28977	0.193	0.193
29012	0.207	0.207
29040	0.317	0.317
29075	0.230	0.230
29103	0.269	0.269
29138	0.230	0.230
29166	0.148	0.148
29194	0.210	0.210
29229	0.168	0.168
29264	0.160	0.160
29292	0.116	0.116
29313	0.138	0.138
29356	0.509	0.509
29376	0.375	0.375
29405	0.385	0.385
29439	0.230	0.230
29474	0.226	0.226
29509	0.174	0.174
29530	0.188	0.188
29558	0.138	0.138
29608	0.096	0.096
29621	0.106	0.106
29650	0.104	0.104
29677	0.106	0.106
29713	0.285	0.285
29747	0.230	0.230
29775	0.193	0.193
29803	0.254	0.254
29839	0.254	0.254
29867	0.356	0.356
29894	0.193	0.193
29922	0.143	0.143
29958	0.110	0.110
29985	0.130	0.130
30013	0.118	0.118
30048	0.124	0.124
30083	0.891	0.891
30104	0.190	0.190
30139	0.226	0.226
30167	0.594	0.594
30196	0.242	0.242
30230	0.172	0.172
30258	0.174	0.174
30286	0.143	0.143
30335	0.140	0.140
30356	0.107	0.107
30384	0.099	0.099
30412	0.137	0.137
30440	0.475	0.475
30468	0.950	0.950
30503	0.407	0.407
30531	0.356	0.356
30559	0.407	0.407
30594	0.317	0.317
30622	0.158	0.158
30650	0.158	0.158
30692	0.219	0.219
30720	0.143	0.143
30742	0.158	0.158
30783	0.375	0.375
30803	0.475	0.475
30838	0.114	0.114
30866	0.356	0.356
30894	0.297	0.297
30930	0.210	0.210
30958	0.178	0.178
30992	0.158	0.158
31020	0.204	0.204
31056	0.130	0.130
31091	0.143	0.143
31112	0.204	0.204
31140	0.475	0.475
31175	0.792	0.792
31203	0.132	0.132
31231	0.475	0.475
31260	0.230	0.230
31294	0.279	0.279
31322	0.331	0.331
31357	0.158	0.158
31385	0.136	0.136
31420	0.124	0.124
31448	0.095	0.095
31476	0.285	0.285
31504	0.285	0.285
31539	0.509	0.509
31574	0.168	0.168
31595	0.219	0.219
31630	0.375	0.375
31658	0.356	0.356
31686	0.297	0.297
31721	0.155	0.155
31749	0.098	0.098
31784	0.110	0.110
31812	0.119	0.119
31840	0.119	0.119
31875	0.285	0.285
31903	0.509	0.509
31931	0.136	0.136
31959	0.210	0.210
31994	0.509	0.509
32022	0.291	0.291
32059	0.204	0.204
32149	0.178	0.178
32176	0.219	0.219
32211	0.230	0.230
32239	0.168	0.168
32267	0.475	0.475
32295	0.317	0.317
32330	0.204	0.204
32358	0.509	0.509
32387	0.254	0.254
32421	0.174	0.174
32449	0.130	0.130
32478	0.204	0.204
32519	0.143	0.143
32547	0.110	0.110
32575	0.114	0.114
32611	0.226	0.226
32631	0.713	0.713
