depth [m]	area [m2]
3.0	486796127.0
2.9	486482254.4
2.8	486133976.5
2.7	485770228.8
2.6	485373695.9
2.5	484874863.7
2.4	484338354.0
2.3	483796160.9
2.2	483260394.4
2.1	482745396.4
2.0	482234260.3
1.9	481707086.2
1.8	481171712.5
1.7	480656631.9
1.6	480179822.4
1.5	479687137.5
1.4	479140912.3
1.3	478585451.5
1.2	477980013.1
1.1	477319729.9
1.0	476606573.2
0.9	475939506.8
0.8	475336402.2
0.7	474849775.6
0.6	474397996.6
0.5	473968887.0
0.4	473561936.1
0.3	473169760.0
0.2	472770726.1
0.1	472339369.4
0.0	471847040.5
-0.1	471238485.7
-0.2	470514383.1
-0.3	469616096.3
-0.4	468562929.2
-0.5	467287351.5
-0.6	465678747.9
-0.7	462946593
-0.8	460026340.5
-0.9	457313094.7
-1.0	454352948.8
-1.1	451514020.7
-1.2	449163730.8
-1.3	447065149.4
-1.4	445258529
-1.5	443529222.2
-1.6	441903193.7
-1.7	440433569
-1.8	439115777.6
-1.9	437943073.1
-2.0	436877638.5
-2.1	435806365.7
-2.2	434758580.5
-2.3	433725478.4
-2.4	432826335.3
-2.5	432057049.1
-2.6	431367394
-2.7	430718229.8
-2.8	430106014.6
-2.9	429525082.9
-3.0	428961576.9
-3.1	428410167.6
-3.2	427891916.9
-3.3	427394787
-3.4	426917947.3
-3.5	426445413.2
-3.6	425982367.4
-3.7	425514942.6
-3.8	425049861.1
-3.9	424589272.1
-4.0	424141737.6
-4.1	423698497
-4.2	423252161
-4.3	422806466.7
-4.4	422345698.4
-4.5	421890847.5
-4.6	421433027.4
-4.7	421000172.2
-4.8	420593699.2
-4.9	420218949
-5.0	419855489.2
-5.1	419486237.3
-5.2	419119125.5
-5.3	418742062.1
-5.4	418355292.5
-5.5	417963917.2
-5.6	417577302.5
-5.7	417214705.8
-5.8	416866986.6
-5.9	416532318.2
-6.9	413568379.1
-7.9	411168793.3
-8.9	408621547
-9.9	406482248.9
-10.9	404715436.5
-11.9	403004727.1
-12.9	401430743.8
-13.9	399877078.2
-14.9	398260518.3
-15.9	396522382.5
-16.9	394748947.5
-17.9	392877915.6
-18.9	390988989.7
-19.9	389066042.5
-24.9	378856220.2
-29.9	368474961
-34.9	358511131.2
-39.9	347969429.8
-44.9	336604304.7
-49.9	325161565.6
-54.9	314313904
-59.9	303099739.4
-64.9	291064627
-69.9	282164562.6
-74.9	273537878.6
-79.9	264984163.3
-84.9	256477924.3
-89.9	247582853.2
-94.9	238455884.7
-99.9	229229071
-104.9	218584738
-109.9	208845998
-114.9	198841587.9
-119.9	188573977.2
-124.9	178948973.2
-129.9	168724142.4
-134.9	158544216
-139.9	148545611.3
-144.9	137998829.4
-149.9	126555506.2
-154.9	118041161.6
-159.9	109628375.8
-164.9	101627280.2
-169.9	93806211.96
-174.9	86150628.63
-179.9	76980019.93
-184.9	71427426.1
-189.9	66142979.21
-194.9	60899180.98
-199.9	55622156.61
-204.9	50193163.34
-209.9	44948832.63
-214.9	40440181.64
-219.9	35007937.44
-224.9	31307147.19
-229.9	27478806.69
-230.9	26757825.56
-231.9	25988828.77
-232.9	25305801.74
-233.9	24591662.38
-234.9	23862092.14
-235.9	23074968.21
-236.9	22318818.22
-237.9	21494667.43
-238.9	20746878.13
-239.9	19962655.02
-240.9	19046434.89
-241.9	18130233.11
-242.9	17151688.29
-243.9	16182419.87
-244.9	15066791.4
-245	14953078.56
-245.1	14840646.09
-245.2	14723528.87
-245.3	14606753.02
-245.4	14485813.13
-245.5	14358593.27
-245.6	14228203.89
-245.7	14095308.82
-245.8	13963114.29
-245.9	13832047.09
-246	13702741.02
-246.1	13570769.17
-246.2	13437183.81
-246.3	13299433.74
-246.4	13151406.14
-246.5	13003797.74
-246.6	12844697.56
-246.7	12681429.35
-246.8	12526286.78
-246.9	12376744.22
-247	12229938.54
-247.1	12079554.45
-247.2	11922954.6
-247.3	11761692.08
-247.4	11593112.61
-247.5	11426265.52
-247.6	11254342.79
-247.7	11076038.66
-247.8	10898177.66
-247.9	10717342.52
-248	10519373.89
-248.1	10313801.07
-248.2	10083043.53
-248.3	9882331.41
-248.4	9676640.11
-248.5	9440740.85
-248.6	9265206.95
-248.7	9026733.26
-248.8	8844985.38
-248.9	8714602.15
-249	8582270.97
-249.1	8435232.55
-249.2	8296254.69
-249.3	8158446.87
-249.4	8016265.87
-249.5	7863168.43
-249.6	7678610.7
-249.7	7484488.31
-249.8	7284771.89
-249.9	7112783.97
-250	6952716.78
-250.1	6792837.6
-250.2	6622828.45
-250.3	6454827.04
-250.4	6293327.77
-250.5	6133428.27
-250.6	5952543.61
-250.7	5750316.8
-250.8	5552562.05
-250.9	5363618.19
-251	5190997.77
-251.1	4984041.84
-251.2	4772306.8
-251.3	4564879.12
-251.4	4306635.14
-251.5	3980382.35
-251.6	3711372.03
-251.7	3539605.88
-251.8	3361407.87
-251.9	3190680.87
-252	3008202.04
-252.1	2768092.22
-252.2	2416872.44
-252.3	1739332.19
-252.4	1236958.65
-252.5	1082456.1
-252.6	955488.8
-252.7	827765.04
-252.8	683724.59
-252.9	484352.2
-253	116471.37
-253.1	2806.71
