t	z_ga	ga1
2
-1	0	-152
38372	0.131034	0.131034
38373	0.132293	0.132293
38374	0.133576	0.133576
38375	0.134884	0.134884
38376	0.136218	0.136218
38377	0.137578	0.137578
38378	0.138966	0.138966
38379	0.140382	0.140382
38380	0.141828	0.141828
38381	0.143303	0.143303
38382	0.144809	0.144809
38383	0.146348	0.146348
38384	0.147919	0.147919
38385	0.149525	0.149525
38386	0.151166	0.151166
38387	0.152843	0.152843
38388	0.154558	0.154558
38389	0.156312	0.156312
38390	0.158106	0.158106
38391	0.159942	0.159942
38392	0.161821	0.161821
38393	0.163744	0.163744
38394	0.165714	0.165714
38395	0.167732	0.167732
38396	0.169800	0.169800
38397	0.171919	0.171919
38398	0.174092	0.174092
38399	0.176320	0.176320
38400	0.178606	0.178606
38401	0.180952	0.180952
38402	0.182888	0.182888
38403	0.184865	0.184865
38404	0.186885	0.186885
38405	0.188950	0.188950
38406	0.191061	0.191061
38407	0.193220	0.193220
38408	0.195429	0.195429
38409	0.197688	0.197688
38410	0.200000	0.200000
38411	0.202367	0.202367
38412	0.204790	0.204790
38413	0.207273	0.207273
38414	0.209816	0.209816
38415	0.212422	0.212422
38416	0.215094	0.215094
38417	0.217834	0.217834
38418	0.220645	0.220645
38419	0.223529	0.223529
38420	0.226490	0.226490
38421	0.229530	0.229530
38422	0.232653	0.232653
38423	0.235862	0.235862
38424	0.239161	0.239161
38425	0.242553	0.242553
38426	0.246043	0.246043
38427	0.249635	0.249635
38428	0.253333	0.253333
38429	0.257143	0.257143
38430	0.261069	0.261069
38431	0.265116	0.265116
38432	0.269291	0.269291
38433	0.273600	0.273600
38434	0.278049	0.278049
38435	0.282645	0.282645
38436	0.287395	0.287395
38437	0.292308	0.292308
38438	0.297391	0.297391
38439	0.302655	0.302655
38440	0.308108	0.308108
38441	0.313761	0.313761
38442	0.319626	0.319626
38443	0.325714	0.325714
38444	0.332039	0.332039
38445	0.338614	0.338614
38446	0.345455	0.345455
38447	0.352577	0.352577
38448	0.360000	0.360000
38449	0.367742	0.367742
38450	0.375824	0.375824
38451	0.384270	0.384270
38452	0.393103	0.393103
38453	0.402353	0.402353
38454	0.412048	0.412048
38455	0.422222	0.422222
38456	0.423792	0.423792
38457	0.425373	0.425373
38458	0.426966	0.426966
38459	0.428571	0.428571
38460	0.430189	0.430189
38461	0.431818	0.431818
38462	0.433460	0.433460
38463	0.435115	0.435115
38464	0.436782	0.436782
38465	0.438462	0.438462
38466	0.440154	0.440154
38467	0.441860	0.441860
38468	0.443580	0.443580
38469	0.445313	0.445313
38470	0.447059	0.447059
38471	0.448819	0.448819
38472	0.450593	0.450593
38473	0.452381	0.452381
38474	0.454183	0.454183
38475	0.456000	0.456000
38476	0.457831	0.457831
38477	0.459677	0.459677
38478	0.461538	0.461538
38479	0.463415	0.463415
38480	0.465306	0.465306
38481	0.467213	0.467213
38482	0.469136	0.469136
38483	0.471074	0.471074
38484	0.473029	0.473029
38485	0.475000	0.475000
38486	0.468455	0.468455
38487	0.462089	0.462089
38488	0.455893	0.455893
38489	0.449861	0.449861
38490	0.443986	0.443986
38491	0.438263	0.438263
38492	0.432686	0.432686
38493	0.427249	0.427249
38494	0.421946	0.421946
38495	0.416774	0.416774
38496	0.411727	0.411727
38497	0.406801	0.406801
38498	0.401991	0.401991
38499	0.397294	0.397294
38500	0.392705	0.392705
38501	0.388221	0.388221
38502	0.383838	0.383838
38503	0.379553	0.379553
38504	0.375363	0.375363
38505	0.371264	0.371264
38506	0.367254	0.367254
38507	0.363330	0.363330
38508	0.359488	0.359488
38509	0.355727	0.355727
38510	0.352044	0.352044
38511	0.348436	0.348436
38512	0.344901	0.344901
38513	0.341438	0.341438
38514	0.338043	0.338043
38515	0.334715	0.334715
38516	0.331452	0.331452
38517	0.328252	0.328252
38518	0.325113	0.325113
38519	0.322034	0.322034
38520	0.325559	0.325559
38521	0.329163	0.329163
38522	0.332847	0.332847
38523	0.336614	0.336614
38524	0.340468	0.340468
38525	0.344411	0.344411
38526	0.348446	0.348446
38527	0.352577	0.352577
38528	0.356808	0.356808
38529	0.361140	0.361140
38530	0.365580	0.365580
38531	0.370130	0.370130
38532	0.374795	0.374795
38533	0.379578	0.379578
38534	0.384486	0.384486
38535	0.389522	0.389522
38536	0.394691	0.394691
38537	0.400000	0.400000
38538	0.405453	0.405453
38539	0.411058	0.411058
38540	0.416819	0.416819
38541	0.422744	0.422744
38542	0.428840	0.428840
38543	0.435115	0.435115
38544	0.441575	0.441575
38545	0.448231	0.448231
38546	0.455090	0.455090
38547	0.462162	0.462162
38548	0.469458	0.469458
38549	0.476987	0.476987
38550	0.484763	0.484763
38551	0.492795	0.492795
38552	0.501099	0.501099
38553	0.509687	0.509687
38554	0.518575	0.518575
38555	0.527778	0.527778
38556	0.515005	0.515005
38557	0.502836	0.502836
38558	0.491228	0.491228
38559	0.480144	0.480144
38560	0.469550	0.469550
38561	0.459413	0.459413
38562	0.449704	0.449704
38563	0.440397	0.440397
38564	0.431468	0.431468
38565	0.422893	0.422893
38566	0.414653	0.414653
38567	0.406728	0.406728
38568	0.399100	0.399100
38569	0.391753	0.391753
38570	0.384671	0.384671
38571	0.377841	0.377841
38572	0.371249	0.371249
38573	0.364883	0.364883
38574	0.358732	0.358732
38575	0.352785	0.352785
38576	0.347032	0.347032
38577	0.341463	0.341463
38578	0.336071	0.336071
38579	0.330846	0.330846
38580	0.325781	0.325781
