Depth [m]	Area [m2]
 0.0	217900000
-1.0	207908930
-2.0	199040640
-3.0	191224880
-4.0	184391410
-5.0	178470000
-6.0	173390390
-7.0	169082350
-8.0	165475630
-9.0	162500000
-10.0	160085210
-11.0	158161020
-12.0	156657180
-13.0	155503460
-14.0	154629610
-15.0	153965390
-16.0	153440570
-17.0	152984890
-18.0	152528110
-19.0	152000000
-20.0	151344970
-21.0	150566060
-22.0	149680990
-23.0	148707450
-24.0	147663160
-25.0	146565810
-26.0	145433120
-27.0	144282780
-28.0	143132510
-29.0	142000000
-30.0	140899420
-31.0	139830740
-32.0	138790370
-33.0	137774730
-34.0	136780260
-35.0	135803360
-36.0	134840470
-37.0	133888000
-38.0	132942370
-39.0	132000000
-40.0	131057350
-41.0	130111000
-42.0	129157550
-43.0	128193610
-44.0	127215800
-45.0	126220730
-46.0	125205000
-47.0	124165230
-48.0	123098030
-49.0	122000000
-50.0	120869180
-51.0	119709280
-52.0	118525450
-53.0	117322820
-54.0	116106520
-55.0	114881710
-56.0	113653510
-57.0	112427070
-58.0	111207520
-59.0	110000000
-60.0	108807940
-61.0	107627880
-62.0	106454660
-63.0	105283130
-64.0	104108100
-65.0	102924430
-66.0	101726950
-67.0	100510500
-68.0	99269900
-69.0	98000000
-70.0	96698080
-71.0	95371210
-72.0	94028906
-73.0	92680684
-74.0	91336061
-75.0	90004553
-76.0	88695677
-77.0	87418948
-78.0	86183884
-79.0	85000000
-80.0	83873744
-81.0	82799283
-82.0	81767715
-83.0	80770138
-84.0	79797652
-85.0	78841353
-86.0	77892340
-87.0	76941712
-88.0	75980566
-89.0	75000000
-90.0	73993945
-91.0	72967660
-92.0	71929235
-93.0	70886762
-94.0	69848331
-95.0	68822034
-96.0	67815962
-97.0	66838204
-98.0	65896854
-99.0	65000000
-100.0	64152476
-101.0	63346078
-102.0	62569345
-103.0	61810813
-104.0	61059022
-105.0	60302510
-106.0	59529813
-107.0	58729471
-108.0	57890020
-109.0	57000000
-110.0	56051151
-111.0	55048027
-112.0	53998386
-113.0	52909984
-114.0	51790579
-115.0	50647927
-116.0	49489786
-117.0	48323913
-118.0	47158066
-119.0	46000000
-120.0	44852920
-121.0	43701812
-122.0	42527111
-123.0	41309250
-124.0	40028663
-125.0	38665782
-126.0	37201042
-127.0	35614876
-128.0	33887717
-129.0	32000000
-130.0	29942170
-131.0	27744723
-132.0	25448169
-133.0	23093015
-134.0	20719771
-135.0	18368945
-136.0	16081046
-137.0	13896583
-138.0	11856065
-139.0	10000000
-140.0	8.359401e+06
-141.0	6.927295e+06
-142.0	5.687214e+06
-143.0	4622690
-144.0	3.717254e+06
-145.0	2.954438e+06
-146.0	2.317773e+06
-147.0	1.790790e+06
-148.0	1.357022e+06
-149.0	1000000
-150.0	7.032551e+05
-151.0	4.503191e+05
-152.0	1
