z [m]	U [m/s]	V [m/s]	T [°C]	S [‰]	k [J/kg]	eps [W/kg]
-0.0	0.000	0.000	6.568	0.157	3.0e-06	5.0e-10
-3.0	0.000	0.000	6.568	0.158	3.0e-06	5.0e-10
-5.0	0.000	0.000	6.568	0.158	3.0e-06	5.0e-10
-8.0	0.000	0.000	6.568	0.158	3.0e-06	5.0e-10
-10.0	0.000	0.000	6.568	0.158	3.0e-06	5.0e-10
-15.0	0.000	0.000	6.568	0.159	3.0e-06	5.0e-10
-20.0	0.000	0.000	6.568	0.159	3.0e-06	5.0e-10
-30.0	0.000	0.000	6.568	0.159	3.0e-06	5.0e-10
-40.0	0.000	0.000	6.568	0.159	3.0e-06	5.0e-10
-50.0	0.000	0.000	6.568	0.159	3.0e-06	5.0e-10
-100.0	0.000	0.000	6.444	0.159	3.0e-06	5.0e-10
-150.0	0.000	0.000	6.134	0.161	3.0e-06	5.0e-10
-200.0	0.000	0.000	5.886	0.162	3.0e-06	5.0e-10
-225.0	0.000	0.000	5.886	0.163	3.0e-06	5.0e-10
-250.0	0.000	0.000	5.762	0.164	3.0e-06	5.0e-10
-275.0	0.000	0.000	5.762	0.164	3.0e-06	5.0e-10
-300.0	0.000	0.000	5.762	0.164	3.0e-06	5.0e-10
-309.0	0.000	0.000	5.762	0.164	3.0e-06	5.0e-10
