depth (m)	u (m/s)	v (m/s)	T (°C)	S	k	eps
0.0	0	0	5	0.2	3e-006	5e-010
-1	0	0	5	0.2	3e-006	5e-010
-2	0	0	5	0.2	3e-006	5e-010
-3	0	0	4.9	0.2	3e-006	5e-010
-4	0	0	4.9	0.2	3e-006	5e-010
-5	0	0	4.9	0.2	3e-006	5e-010
-6	0	0	4.9	0.2	3e-006	5e-010
-7	0	0	4.9	0.2	3e-006	5e-010
-8	0	0	4.9	0.2	3e-006	5e-010
-9	0	0	4.9	0.2	3e-006	5e-010
-10	0	0	4.9	0.2	3e-006	5e-010
-11	0	0	4.9	0.2	3e-006	5e-010
-12	0	0	4.6	0.2	3e-006	5e-010
-13	0	0	4.5	0.2	3e-006	5e-010
-14	0	0	4.5	0.2	3e-006	5e-010
-15	0	0	4.5	0.2	3e-006	5e-010
-16	0	0	4.4	0.2	3e-006	5e-010
