t	u (m/s)	v (m/s)	Tair (°C)	Fsol (W/m2)	vap (mbar)	cloud coverage
16071.000000	0.130526	0.991445	-1.600000	0.000000	4.600000	0.220000
16071.041668	0.237746	1.283632	-1.200111	0.000000	4.700000	0.246668
16071.083336	0.425023	1.026501	-1.300044	0.000000	4.699956	0.273335
16071.125005	0.342135	0.185571	-0.399867	0.000000	4.900000	0.300003
16071.166673	0.016911	0.499985	0.000177	0.000000	5.199823	0.326671
16071.208341	0.570910	0.394988	0.600332	0.000000	5.299889	0.353338
16071.250009	0.997802	-0.052606	0.600000	0.000000	5.499867	0.380006
16071.291677	0.301799	0.244575	0.900465	0.001550	5.300155	0.406674
16071.333346	-1.802759	-0.041769	1.499469	21.012401	5.500177	0.433341
16071.375014	-0.852642	0.522071	2.499402	203.768813	5.800000	0.460009
16071.416682	-0.573189	0.392818	3.800443	243.090792	5.700221	0.486677
16071.458350	-0.439423	-0.538697	4.900000	265.068204	5.799513	0.513344
16071.500018	-0.706942	0.538482	5.700531	315.954826	5.500797	0.540012
16071.541687	-1.634156	-0.436023	5.999712	274.959697	5.999424	0.566679
16071.583355	0.914916	1.192142	6.700310	193.854290	5.699690	0.593347
16071.625023	-0.655151	0.473302	3.400332	44.970105	5.999668	0.620015
16071.666691	-0.478098	0.158045	2.303543	0.996457	5.799646	0.646682
16071.708359	-0.563877	0.828643	0.803388	0.000000	5.600376	0.673350
16071.750028	-0.423078	0.551247	1.298406	0.000000	5.699601	0.700018
16071.791696	0.522536	0.852069	0.999579	0.000000	5.600000	0.726685
16071.833364	0.466248	-0.180590	1.098228	0.000000	5.700000	0.753353
16071.875032	1.171294	0.224612	0.201395	0.000000	5.600000	0.780021
16071.916700	1.457679	1.527076	3.200000	0.000000	5.700487	0.806688
16071.958369	0.687721	-0.103291	1.497453	0.000000	5.700000	0.833356
16072.000037	-0.316726	0.837969	0.700000	0.000000	5.700531	0.860004
16072.041705	0.294017	1.355209	1.301107	0.000000	5.900000	0.864588
16072.083373	0.162816	0.674595	0.102879	0.000000	5.700576	0.869171
16072.125042	0.991117	-0.141469	0.502392	0.000000	5.800000	0.873755
