depth (m)	u (m/s)	v (m/s)	T (°C)	S	k	eps
0.0	0	0	5	0.2	3e-006	5e-010
-1	0	0	5	0.2	3e-006	5e-010
-3	0	0	5	0.2	3e-006	5e-010
-5	0	0	4.9	0.2	3e-006	5e-010
-8	0	0	4.9	0.2	3e-006	5e-010
-10	0	0	4.9	0.2	3e-006	5e-010
-13	0	0	4.9	0.2	3e-006	5e-010
-15	0	0	4.9	0.2	3e-006	5e-010
-20	0	0	4.9	0.2	3e-006	5e-010
-30	0	0	4.9	0.2	3e-006	5e-010
-40	0	0	4.9	0.2	3e-006	5e-010
-60	0	0	4.9	0.2	3e-006	5e-010
-80	0	0	4.9	0.2	3e-006	5e-010
-90	0	0	4.9	0.2	3e-006	5e-010
-100	0	0	4.6	0.2	3e-006	5e-010
-110	0	0	4.5	0.2	3e-006	5e-010
-120	0	0	4.5	0.2	3e-006	5e-010
-130	0	0	4.5	0.2	3e-006	5e-010
-135	0	0	4.4	0.2	3e-006	5e-010
