"",136.000
35001.0035,4.0773E+02
35001.0069,4.0778E+02
35001.0104,4.0784E+02
35001.0139,4.0789E+02
35001.0174,4.0795E+02
35001.0208,4.0800E+02
35001.0243,4.0806E+02
35001.0278,4.0811E+02
35001.0312,4.0817E+02
35001.0347,4.0822E+02
35001.0382,4.0828E+02
35001.0417,4.0833E+02
35001.0451,4.0839E+02
35001.0486,4.0844E+02
35001.0521,4.0850E+02
35001.0556,4.0855E+02
35001.0590,4.0861E+02
35001.0625,4.0866E+02
35001.0660,4.0872E+02
35001.0694,4.0877E+02
35001.0729,4.0883E+02
35001.0764,4.0888E+02
35001.0799,4.0893E+02
35001.0833,4.0899E+02
35001.0868,4.0891E+02
35001.0903,4.0884E+02
35001.0937,4.0876E+02
35001.0972,4.0869E+02
35001.1007,4.0861E+02
35001.1042,4.0854E+02
35001.1076,4.0846E+02
35001.1111,4.0839E+02
35001.1146,4.0831E+02
35001.1181,4.0824E+02
35001.1215,4.0816E+02
35001.1250,4.0809E+02
35001.1285,4.0801E+02
35001.1319,4.0794E+02
35001.1354,4.0787E+02
35001.1389,4.0779E+02
35001.1424,4.0772E+02
35001.1458,4.0764E+02
35001.1493,4.0757E+02
35001.1528,4.0749E+02
35001.1562,4.0742E+02
35001.1597,4.0734E+02
35001.1632,4.0727E+02
35001.1667,4.0719E+02
35001.1701,4.0700E+02
35001.1736,4.0681E+02
35001.1771,4.0662E+02
35001.1806,4.0643E+02
35001.1840,4.0624E+02
35001.1875,4.0605E+02
35001.1910,4.0586E+02
35001.1944,4.0567E+02
35001.1979,4.0548E+02
35001.2014,4.0529E+02
35001.2049,4.0510E+02
35001.2083,4.0491E+02
35001.2118,4.0471E+02
35001.2153,4.0452E+02
35001.2187,4.0433E+02
35001.2222,4.0414E+02
35001.2257,4.0395E+02
35001.2292,4.0376E+02
35001.2326,4.0357E+02
35001.2361,4.0338E+02
35001.2396,4.0319E+02
35001.2431,4.0300E+02
35001.2465,4.0281E+02
35001.2500,4.0262E+02
35001.2535,4.0304E+02
35001.2569,4.0345E+02
35001.2604,4.0387E+02
35001.2639,4.0428E+02
35001.2674,4.0470E+02
35001.2708,4.0511E+02
35001.2743,4.0553E+02
35001.2778,4.0595E+02
35001.2812,4.0636E+02
35001.2847,4.0678E+02
35001.2882,4.0719E+02
35001.2917,4.0761E+02
35001.2951,4.0803E+02
35001.2986,4.0844E+02
35001.3021,4.0886E+02
35001.3056,4.0928E+02
35001.3090,4.0970E+02
35001.3125,4.1011E+02
35001.3160,4.1053E+02
35001.3194,4.1095E+02
35001.3229,4.1137E+02
35001.3264,4.1178E+02
35001.3299,4.1220E+02
35001.3333,4.1262E+02
35001.3368,4.1314E+02
35001.3403,4.1365E+02
35001.3437,4.1417E+02
35001.3472,4.1469E+02
35001.3507,4.1520E+02
35001.3542,4.1572E+02
35001.3576,4.1624E+02
35001.3611,4.1676E+02
35001.3646,4.1728E+02
35001.3681,4.1780E+02
35001.3715,4.1832E+02
35001.3750,4.1884E+02
35001.3785,4.1936E+02
35001.3819,4.1989E+02
35001.3854,4.2041E+02
35001.3889,4.2093E+02
35001.3924,4.2146E+02
35001.3958,4.2198E+02
35001.3993,4.2251E+02
35001.4028,4.2303E+02
35001.4062,4.2356E+02
35001.4097,4.2409E+02
35001.4132,4.2462E+02
35001.4167,4.2515E+02
35001.4201,4.2583E+02
35001.4236,4.2651E+02
35001.4271,4.2719E+02
35001.4306,4.2787E+02
35001.4340,4.2856E+02
35001.4375,4.2924E+02
35001.4410,4.2993E+02
35001.4444,4.3062E+02
35001.4479,4.3130E+02
35001.4514,4.3199E+02
35001.4549,4.3268E+02
35001.4583,4.3337E+02
35001.4618,4.3406E+02
35001.4653,4.3475E+02
35001.4687,4.3545E+02
35001.4722,4.3614E+02
35001.4757,4.3683E+02
35001.4792,4.3753E+02
35001.4826,4.3823E+02
35001.4861,4.3892E+02
35001.4896,4.3962E+02
35001.4931,4.4032E+02
35001.4965,4.4102E+02
35001.5000,4.4172E+02
35001.5035,4.4155E+02
35001.5069,4.4138E+02
35001.5104,4.4121E+02
35001.5139,4.4103E+02
35001.5174,4.4086E+02
35001.5208,4.4069E+02
35001.5243,4.4052E+02
35001.5278,4.4035E+02
35001.5312,4.4018E+02
35001.5347,4.4001E+02
35001.5382,4.3984E+02
35001.5417,4.3967E+02
35001.5451,4.3950E+02
35001.5486,4.3933E+02
35001.5521,4.3915E+02
35001.5556,4.3898E+02
35001.5590,4.3881E+02
35001.5625,4.3864E+02
35001.5660,4.3847E+02
35001.5694,4.3830E+02
35001.5729,4.3813E+02
35001.5764,4.3796E+02
35001.5799,4.3779E+02
35001.5833,4.3762E+02
35001.5868,4.3730E+02
35001.5903,4.3699E+02
35001.5937,4.3668E+02
35001.5972,4.3636E+02
35001.6007,4.3605E+02
35001.6042,4.3574E+02
35001.6076,4.3542E+02
35001.6111,4.3511E+02
35001.6146,4.3480E+02
