"",136.000
35001.0035,6.8370E+00
35001.0069,7.0655E+00
35001.0104,7.3454E+00
35001.0139,7.6047E+00
35001.0174,7.8939E+00
35001.0208,8.1974E+00
35001.0243,8.5122E+00
35001.0278,8.8351E+00
35001.0312,9.1650E+00
35001.0347,9.5013E+00
35001.0382,9.8443E+00
35001.0417,1.0194E+01
35001.0451,1.0549E+01
35001.0486,1.0910E+01
35001.0521,1.1275E+01
35001.0556,1.1645E+01
35001.0590,1.2017E+01
35001.0625,1.2394E+01
35001.0660,1.2774E+01
35001.0694,1.3156E+01
35001.0729,1.3542E+01
35001.0764,1.3931E+01
35001.0799,1.4322E+01
35001.0833,1.4716E+01
35001.0868,1.4127E+01
35001.0903,1.3557E+01
35001.0937,1.3006E+01
35001.0972,1.2477E+01
35001.1007,1.1971E+01
35001.1042,1.1492E+01
35001.1076,1.1041E+01
35001.1111,1.0622E+01
35001.1146,1.0238E+01
35001.1181,9.8912E+00
35001.1215,9.5855E+00
35001.1250,9.3241E+00
35001.1285,9.1100E+00
35001.1319,8.9459E+00
35001.1354,8.8336E+00
35001.1389,8.7745E+00
35001.1424,8.7689E+00
35001.1458,8.8160E+00
35001.1493,8.9143E+00
35001.1528,9.0615E+00
35001.1562,9.2544E+00
35001.1597,9.4896E+00
35001.1632,9.7635E+00
35001.1667,1.0072E+01
35001.1701,9.8445E+00
35001.1736,9.6314E+00
35001.1771,9.4330E+00
35001.1806,9.2498E+00
35001.1840,9.0822E+00
35001.1875,8.9305E+00
35001.1910,8.7953E+00
35001.1944,8.6765E+00
35001.1979,8.5745E+00
35001.2014,8.4893E+00
35001.2049,8.4209E+00
35001.2083,8.3691E+00
35001.2118,8.3338E+00
35001.2153,8.3146E+00
35001.2187,8.3112E+00
35001.2222,8.3230E+00
35001.2257,8.3494E+00
35001.2292,8.3899E+00
35001.2326,8.4438E+00
35001.2361,8.5104E+00
35001.2396,8.5888E+00
35001.2431,8.6783E+00
35001.2465,8.7781E+00
35001.2500,8.8875E+00
35001.2535,8.7145E+00
35001.2569,8.5465E+00
35001.2604,8.3851E+00
35001.2639,8.2320E+00
35001.2674,8.0891E+00
35001.2708,7.9583E+00
35001.2743,7.8415E+00
35001.2778,7.7408E+00
35001.2812,7.6583E+00
35001.2847,7.5958E+00
35001.2882,7.5554E+00
35001.2917,7.5388E+00
35001.2951,7.5477E+00
35001.2986,7.5835E+00
35001.3021,7.6472E+00
35001.3056,7.7396E+00
35001.3090,7.8612E+00
35001.3125,8.0120E+00
35001.3160,8.1919E+00
35001.3194,8.4004E+00
35001.3229,8.6368E+00
35001.3264,8.9002E+00
35001.3299,9.1896E+00
35001.3333,9.5038E+00
35001.3368,8.9484E+00
35001.3403,8.3964E+00
35001.3437,7.8523E+00
35001.3472,7.3233E+00
35001.3507,6.8186E+00
35001.3542,6.3507E+00
35001.3576,5.9352E+00
35001.3611,5.5911E+00
35001.3646,5.3401E+00
35001.3681,5.2035E+00
35001.3715,5.1984E+00
35001.3750,5.3325E+00
35001.3785,5.6030E+00
35001.3819,5.9980E+00
35001.3854,6.5011E+00
35001.3889,7.0951E+00
35001.3924,7.7650E+00
35001.3958,8.4983E+00
35001.3993,9.2854E+00
35001.4028,1.0119E+01
35001.4062,1.0993E+01
35001.4097,1.1904E+01
35001.4132,1.2847E+01
35001.4167,1.3821E+01
35001.4201,1.3887E+01
35001.4236,1.3955E+01
35001.4271,1.4022E+01
35001.4306,1.4088E+01
35001.4340,1.4153E+01
35001.4375,1.4216E+01
35001.4410,1.4277E+01
35001.4444,1.4337E+01
35001.4479,1.4396E+01
35001.4514,1.4453E+01
35001.4549,1.4508E+01
35001.4583,1.4563E+01
35001.4618,1.4616E+01
35001.4653,1.4669E+01
35001.4687,1.4720E+01
35001.4722,1.4770E+01
35001.4757,1.4819E+01
35001.4792,1.4867E+01
35001.4826,1.4914E+01
35001.4861,1.4960E+01
35001.4896,1.5006E+01
35001.4931,1.5050E+01
35001.4965,1.5094E+01
35001.5000,1.5137E+01
35001.5035,1.4112E+01
35001.5069,1.3271E+01
35001.5104,1.2643E+01
35001.5139,1.2255E+01
35001.5174,1.2126E+01
35001.5208,1.2259E+01
35001.5243,1.2640E+01
35001.5278,1.3244E+01
35001.5312,1.4039E+01
35001.5347,1.4989E+01
35001.5382,1.6066E+01
35001.5417,1.7243E+01
35001.5451,1.8500E+01
35001.5486,1.9818E+01
35001.5521,2.1185E+01
35001.5556,2.2591E+01
35001.5590,2.4028E+01
35001.5625,2.5488E+01
35001.5660,2.6967E+01
35001.5694,2.8461E+01
35001.5729,2.9966E+01
35001.5764,3.1480E+01
35001.5799,3.3000E+01
35001.5833,3.4526E+01
35001.5868,3.3651E+01
35001.5903,3.2800E+01
35001.5937,3.1973E+01
35001.5972,3.1171E+01
35001.6007,3.0395E+01
35001.6042,2.9646E+01
35001.6076,2.8925E+01
35001.6111,2.8233E+01
35001.6146,2.7572E+01
35001.6181,2.6943E+01
35001.6215,2.6346E+01
35001.6250,2.5784E+01
35001.6285,2.5256E+01
35001.6319,2.4765E+01
35001.6354,2.4311E+01
35001.6389,2.3896E+01
35001.6424,2.3520E+01
