"",136.000
35001.0035,6.7309E+00
35001.0069,6.9619E+00
35001.0104,7.2446E+00
35001.0139,7.5069E+00
35001.0174,7.7995E+00
35001.0208,8.1068E+00
35001.0243,8.4258E+00
35001.0278,8.7534E+00
35001.0312,9.0885E+00
35001.0347,9.4304E+00
35001.0382,9.7797E+00
35001.0417,1.0136E+01
35001.0451,1.0499E+01
35001.0486,1.0868E+01
35001.0521,1.1242E+01
35001.0556,1.1620E+01
35001.0590,1.2003E+01
35001.0625,1.2390E+01
35001.0660,1.2781E+01
35001.0694,1.3176E+01
35001.0729,1.3574E+01
35001.0764,1.3976E+01
35001.0799,1.4381E+01
35001.0833,1.4790E+01
35001.0868,1.4199E+01
35001.0903,1.3627E+01
35001.0937,1.3075E+01
35001.0972,1.2544E+01
35001.1007,1.2037E+01
35001.1042,1.1556E+01
35001.1076,1.1104E+01
35001.1111,1.0684E+01
35001.1146,1.0298E+01
35001.1181,9.9500E+00
35001.1215,9.6435E+00
35001.1250,9.3814E+00
35001.1285,9.1669E+00
35001.1319,9.0025E+00
35001.1354,8.8904E+00
35001.1389,8.8318E+00
35001.1424,8.8270E+00
35001.1458,8.8753E+00
35001.1493,8.9751E+00
35001.1528,9.1241E+00
35001.1562,9.3193E+00
35001.1597,9.5571E+00
35001.1632,9.8339E+00
35001.1667,1.0146E+01
35001.1701,9.8868E+00
35001.1736,9.6434E+00
35001.1771,9.4158E+00
35001.1806,9.2041E+00
35001.1840,9.0088E+00
35001.1875,8.8301E+00
35001.1910,8.6682E+00
35001.1944,8.5231E+00
35001.1979,8.3949E+00
35001.2014,8.2835E+00
35001.2049,8.1886E+00
35001.2083,8.1100E+00
35001.2118,8.0474E+00
35001.2153,8.0003E+00
35001.2187,7.9680E+00
35001.2222,7.9501E+00
35001.2257,7.9457E+00
35001.2292,7.9541E+00
35001.2326,7.9746E+00
35001.2361,8.0062E+00
35001.2396,8.0481E+00
35001.2431,8.0994E+00
35001.2465,8.1593E+00
35001.2500,8.2268E+00
35001.2535,8.1022E+00
35001.2569,7.9801E+00
35001.2604,7.8621E+00
35001.2639,7.7500E+00
35001.2674,7.6456E+00
35001.2708,7.5509E+00
35001.2743,7.4682E+00
35001.2778,7.3994E+00
35001.2812,7.3467E+00
35001.2847,7.3123E+00
35001.2882,7.2983E+00
35001.2917,7.3067E+00
35001.2951,7.3393E+00
35001.2986,7.3978E+00
35001.3021,7.4833E+00
35001.3056,7.5970E+00
35001.3090,7.7395E+00
35001.3125,7.9112E+00
35001.3160,8.1122E+00
35001.3194,8.3422E+00
35001.3229,8.6008E+00
35001.3264,8.8872E+00
35001.3299,9.2007E+00
35001.3333,9.5402E+00
35001.3368,8.8693E+00
35001.3403,8.2183E+00
35001.3437,7.5906E+00
35001.3472,6.9924E+00
35001.3507,6.4314E+00
35001.3542,5.9178E+00
35001.3576,5.4643E+00
35001.3611,5.0863E+00
35001.3646,4.8005E+00
35001.3681,4.6227E+00
35001.3715,4.5639E+00
35001.3750,4.6269E+00
35001.3785,4.8050E+00
35001.3819,5.0839E+00
35001.3854,5.4464E+00
35001.3889,5.8754E+00
35001.3924,6.3562E+00
35001.3958,6.8771E+00
35001.3993,7.4290E+00
35001.4028,8.0052E+00
35001.4062,8.6005E+00
35001.4097,9.2107E+00
35001.4132,9.8328E+00
35001.4167,1.0464E+01
35001.4201,1.0456E+01
35001.4236,1.0451E+01
35001.4271,1.0447E+01
35001.4306,1.0442E+01
35001.4340,1.0437E+01
35001.4375,1.0431E+01
35001.4410,1.0425E+01
35001.4444,1.0418E+01
35001.4479,1.0411E+01
35001.4514,1.0403E+01
35001.4549,1.0395E+01
35001.4583,1.0386E+01
35001.4618,1.0377E+01
35001.4653,1.0368E+01
35001.4687,1.0359E+01
35001.4722,1.0350E+01
35001.4757,1.0340E+01
35001.4792,1.0330E+01
35001.4826,1.0321E+01
35001.4861,1.0311E+01
35001.4896,1.0301E+01
35001.4931,1.0291E+01
35001.4965,1.0280E+01
35001.5000,1.0270E+01
35001.5035,9.5376E+00
35001.5069,8.9338E+00
35001.5104,8.4773E+00
35001.5139,8.1849E+00
35001.5174,8.0662E+00
35001.5208,8.1214E+00
35001.5243,8.3397E+00
35001.5278,8.7023E+00
35001.5312,9.1861E+00
35001.5347,9.7681E+00
35001.5382,1.0427E+01
35001.5417,1.1146E+01
35001.5451,1.1911E+01
35001.5486,1.2709E+01
35001.5521,1.3533E+01
35001.5556,1.4376E+01
35001.5590,1.5231E+01
35001.5625,1.6095E+01
35001.5660,1.6964E+01
35001.5694,1.7836E+01
35001.5729,1.8708E+01
35001.5764,1.9578E+01
35001.5799,2.0445E+01
35001.5833,2.1309E+01
35001.5868,2.0619E+01
35001.5903,1.9952E+01
35001.5937,1.9305E+01
35001.5972,1.8679E+01
35001.6007,1.8074E+01
35001.6042,1.7492E+01
35001.6076,1.6933E+01
35001.6111,1.6397E+01
35001.6146,1.5883E+01
35001.6181,1.5393E+01
35001.6215,1.4927E+01
35001.6250,1.4484E+01
35001.6285,1.4066E+01
35001.6319,1.3671E+01
35001.6354,1.3301E+01
35001.6389,1.2956E+01
35001.6424,1.2634E+01
35001.6458,1.2337E+01
35001.6493,1.2065E+01
35001.6528,1.1816E+01
35001.6562,1.1590E+01
35001.6597,1.1387E+01
35001.6632,1.1206E+01
35001.6667,1.1046E+01
35001.6701,1.0847E+01
35001.6736,1.0651E+01
35001.6771,1.0457E+01
35001.6806,1.0266E+01
35001.6840,1.0077E+01
35001.6875,9.8917E+00
35001.6910,9.7093E+00
35001.6944,9.5303E+00
35001.6979,9.3546E+00
35001.7014,9.1826E+00
35001.7049,9.0144E+00
35001.7083,8.8501E+00
35001.7118,8.6901E+00
35001.7153,8.5344E+00
35001.7187,8.3834E+00
35001.7222,8.2372E+00
35001.7257,8.0960E+00
35001.7292,7.9602E+00
35001.7326,7.8300E+00
35001.7361,7.7055E+00
35001.7396,7.5871E+00
35001.7431,7.4750E+00
35001.7465,7.3695E+00
35001.7500,7.2708E+00
35001.7535,6.4401E+00
35001.7569,5.6515E+00
35001.7604,4.9178E+00
35001.7639,4.2598E+00
35001.7674,3.7090E+00
35001.7708,3.3096E+00
35001.7743,3.1093E+00
35001.7778,3.1354E+00
35001.7812,3.3721E+00
35001.7847,3.7699E+00
35001.7882,4.2752E+00
35001.7917,4.8464E+00
35001.7951,5.4567E+00
35001.7986,6.0893E+00
35001.8021,6.7341E+00
35001.8056,7.3841E+00
35001.8090,8.0343E+00
35001.8125,8.6814E+00
35001.8160,9.3225E+00
35001.8194,9.9561E+00
35001.8229,1.0581E+01
35001.8264,1.1195E+01
35001.8299,1.1798E+01
