"",136.000
35001.0035,-3.2921E+02
35001.0069,-3.2933E+02
35001.0104,-3.2929E+02
35001.0139,-3.2941E+02
35001.0174,-3.2945E+02
35001.0208,-3.2947E+02
35001.0243,-3.2950E+02
35001.0278,-3.2953E+02
35001.0312,-3.2956E+02
35001.0347,-3.2960E+02
35001.0382,-3.2963E+02
35001.0417,-3.2967E+02
35001.0451,-3.2970E+02
35001.0486,-3.2973E+02
35001.0521,-3.2977E+02
35001.0556,-3.2980E+02
35001.0590,-3.2983E+02
35001.0625,-3.2986E+02
35001.0660,-3.2990E+02
35001.0694,-3.2993E+02
35001.0729,-3.2996E+02
35001.0764,-3.2999E+02
35001.0799,-3.3002E+02
35001.0833,-3.3005E+02
35001.0868,-3.3007E+02
35001.0903,-3.3010E+02
35001.0937,-3.3012E+02
35001.0972,-3.3014E+02
35001.1007,-3.3017E+02
35001.1042,-3.3019E+02
35001.1076,-3.3021E+02
35001.1111,-3.3022E+02
35001.1146,-3.3024E+02
35001.1181,-3.3026E+02
35001.1215,-3.3028E+02
35001.1250,-3.3029E+02
35001.1285,-3.3031E+02
35001.1319,-3.3032E+02
35001.1354,-3.3034E+02
35001.1389,-3.3035E+02
35001.1424,-3.3037E+02
35001.1458,-3.3039E+02
35001.1493,-3.3040E+02
35001.1528,-3.3042E+02
35001.1562,-3.3044E+02
35001.1597,-3.3045E+02
35001.1632,-3.3047E+02
35001.1667,-3.3049E+02
35001.1701,-3.3050E+02
35001.1736,-3.3052E+02
35001.1771,-3.3053E+02
35001.1806,-3.3055E+02
35001.1840,-3.3057E+02
35001.1875,-3.3058E+02
35001.1910,-3.3060E+02
35001.1944,-3.3062E+02
35001.1979,-3.3063E+02
35001.2014,-3.3065E+02
35001.2049,-3.3066E+02
35001.2083,-3.3068E+02
35001.2118,-3.3069E+02
35001.2153,-3.3071E+02
35001.2187,-3.3073E+02
35001.2222,-3.3074E+02
35001.2257,-3.3076E+02
35001.2292,-3.3077E+02
35001.2326,-3.3079E+02
35001.2361,-3.3080E+02
35001.2396,-3.3082E+02
35001.2431,-3.3083E+02
35001.2465,-3.3085E+02
35001.2500,-3.3087E+02
35001.2535,-3.3088E+02
35001.2569,-3.3090E+02
35001.2604,-3.3092E+02
35001.2639,-3.3094E+02
35001.2674,-3.3097E+02
35001.2708,-3.3100E+02
35001.2743,-3.3103E+02
35001.2778,-3.3106E+02
35001.2812,-3.3109E+02
35001.2847,-3.3113E+02
35001.2882,-3.3117E+02
35001.2917,-3.3120E+02
35001.2951,-3.3125E+02
35001.2986,-3.3129E+02
35001.3021,-3.3133E+02
35001.3056,-3.3138E+02
35001.3090,-3.3142E+02
35001.3125,-3.3147E+02
35001.3160,-3.3152E+02
35001.3194,-3.3157E+02
35001.3229,-3.3162E+02
35001.3264,-3.3168E+02
35001.3299,-3.3173E+02
35001.3333,-3.3178E+02
35001.3368,-3.3184E+02
35001.3403,-3.3189E+02
35001.3437,-3.3195E+02
35001.3472,-3.3201E+02
35001.3507,-3.3208E+02
35001.3542,-3.3215E+02
35001.3576,-3.3222E+02
35001.3611,-3.3230E+02
35001.3646,-3.3239E+02
35001.3681,-3.3248E+02
35001.3715,-3.3258E+02
35001.3750,-3.3268E+02
35001.3785,-3.3280E+02
35001.3819,-3.3292E+02
35001.3854,-3.3304E+02
35001.3889,-3.3316E+02
35001.3924,-3.3328E+02
35001.3958,-3.3340E+02
35001.3993,-3.3351E+02
35001.4028,-3.3362E+02
35001.4062,-3.3372E+02
35001.4097,-3.3381E+02
35001.4132,-3.3389E+02
35001.4167,-3.3398E+02
35001.4201,-3.3405E+02
35001.4236,-3.3412E+02
35001.4271,-3.3419E+02
35001.4306,-3.3425E+02
35001.4340,-3.3432E+02
35001.4375,-3.3438E+02
35001.4410,-3.3445E+02
35001.4444,-3.3452E+02
35001.4479,-3.3458E+02
35001.4514,-3.3465E+02
