"",136.000
35001.0035,1.1462E+00
35001.0069,1.0963E+00
35001.0104,1.0465E+00
35001.0139,9.9667E-01
35001.0174,9.4683E-01
35001.0208,8.9700E-01
35001.0243,8.4717E-01
35001.0278,7.9733E-01
35001.0312,7.4750E-01
35001.0347,6.9766E-01
35001.0382,6.4783E-01
35001.0417,5.9800E-01
35001.0451,5.4816E-01
35001.0486,4.9833E-01
35001.0521,4.4850E-01
35001.0556,3.9866E-01
35001.0590,3.4883E-01
35001.0625,2.9900E-01
35001.0660,2.4916E-01
35001.0694,1.9933E-01
35001.0729,1.4950E-01
35001.0764,9.9662E-02
35001.0799,4.9829E-02
35001.0833,0.0000E+00
35001.0868,0.0000E+00
35001.0903,0.0000E+00
35001.0937,0.0000E+00
35001.0972,0.0000E+00
35001.1007,0.0000E+00
35001.1042,0.0000E+00
35001.1076,0.0000E+00
35001.1111,0.0000E+00
35001.1146,0.0000E+00
35001.1181,0.0000E+00
35001.1215,0.0000E+00
35001.1250,0.0000E+00
35001.1285,0.0000E+00
35001.1319,0.0000E+00
35001.1354,0.0000E+00
35001.1389,0.0000E+00
35001.1424,0.0000E+00
35001.1458,0.0000E+00
35001.1493,0.0000E+00
35001.1528,0.0000E+00
35001.1562,0.0000E+00
35001.1597,0.0000E+00
35001.1632,0.0000E+00
35001.1667,0.0000E+00
35001.1701,1.4949E-01
35001.1736,2.9899E-01
35001.1771,4.4849E-01
35001.1806,5.9799E-01
35001.1840,7.4749E-01
35001.1875,8.9699E-01
35001.1910,1.0465E+00
35001.1944,1.1960E+00
35001.1979,1.3455E+00
35001.2014,1.4950E+00
35001.2049,1.6445E+00
35001.2083,1.7940E+00
35001.2118,1.9435E+00
35001.2153,2.0930E+00
35001.2187,2.2425E+00
35001.2222,2.3920E+00
35001.2257,2.5415E+00
35001.2292,2.6910E+00
35001.2326,2.8405E+00
35001.2361,2.9900E+00
35001.2396,3.1395E+00
35001.2431,3.2890E+00
35001.2465,3.4385E+00
35001.2500,3.5880E+00
35001.2535,8.1478E+00
35001.2569,1.2708E+01
35001.2604,1.7267E+01
35001.2639,2.1827E+01
35001.2674,2.6387E+01
35001.2708,3.0947E+01
35001.2743,3.5506E+01
35001.2778,4.0066E+01
35001.2812,4.4626E+01
35001.2847,4.9186E+01
35001.2882,5.3745E+01
35001.2917,5.8305E+01
35001.2951,6.2865E+01
35001.2986,6.7425E+01
35001.3021,7.1985E+01
35001.3056,7.6544E+01
35001.3090,8.1104E+01
35001.3125,8.5664E+01
35001.3160,9.0224E+01
35001.3194,9.4783E+01
35001.3229,9.9343E+01
35001.3264,1.0390E+02
35001.3299,1.0846E+02
35001.3333,1.1302E+02
35001.3368,1.1781E+02
