"",136.000
35001.0035,1.3600E+02
35001.0069,1.3600E+02
35001.0104,1.3600E+02
35001.0139,1.3600E+02
35001.0174,1.3600E+02
35001.0208,1.3600E+02
35001.0243,1.3600E+02
35001.0278,1.3600E+02
35001.0312,1.3600E+02
35001.0347,1.3600E+02
35001.0382,1.3600E+02
35001.0417,1.3600E+02
35001.0451,1.3600E+02
35001.0486,1.3600E+02
35001.0521,1.3600E+02
35001.0556,1.3600E+02
35001.0590,1.3600E+02
35001.0625,1.3600E+02
35001.0660,1.3600E+02
35001.0694,1.3600E+02
35001.0729,1.3600E+02
35001.0764,1.3600E+02
35001.0799,1.3600E+02
35001.0833,1.3600E+02
35001.0868,1.3600E+02
35001.0903,1.3600E+02
35001.0937,1.3600E+02
35001.0972,1.3600E+02
35001.1007,1.3600E+02
35001.1042,1.3600E+02
35001.1076,1.3600E+02
35001.1111,1.3600E+02
35001.1146,1.3600E+02
35001.1181,1.3600E+02
35001.1215,1.3600E+02
35001.1250,1.3600E+02
35001.1285,1.3600E+02
35001.1319,1.3600E+02
35001.1354,1.3600E+02
35001.1389,1.3600E+02
35001.1424,1.3600E+02
35001.1458,1.3600E+02
35001.1493,1.3600E+02
35001.1528,1.3600E+02
35001.1562,1.3600E+02
35001.1597,1.3600E+02
35001.1632,1.3600E+02
35001.1667,1.3600E+02
35001.1701,1.3600E+02
35001.1736,1.3600E+02
35001.1771,1.3600E+02
35001.1806,1.3600E+02
35001.1840,1.3600E+02
35001.1875,1.3600E+02
35001.1910,1.3600E+02
35001.1944,1.3600E+02
35001.1979,1.3600E+02
35001.2014,1.3600E+02
35001.2049,1.3600E+02
35001.2083,1.3600E+02
35001.2118,1.3600E+02
35001.2153,1.3600E+02
35001.2187,1.3600E+02
35001.2222,1.3600E+02
35001.2257,1.3600E+02
35001.2292,1.3600E+02
35001.2326,1.3600E+02
35001.2361,1.3600E+02
35001.2396,1.3600E+02
35001.2431,1.3600E+02
35001.2465,1.3600E+02
35001.2500,1.3600E+02
35001.2535,1.3600E+02
35001.2569,1.3600E+02
35001.2604,1.3600E+02
35001.2639,1.3600E+02
35001.2674,1.3600E+02
35001.2708,1.3600E+02
35001.2743,1.3600E+02
35001.2778,1.3600E+02
35001.2812,1.3600E+02
35001.2847,1.3600E+02
35001.2882,1.3600E+02
35001.2917,1.3600E+02
35001.2951,1.3600E+02
35001.2986,1.3600E+02
35001.3021,1.3600E+02
35001.3056,1.3600E+02
35001.3090,1.3600E+02
35001.3125,1.3600E+02
35001.3160,1.3600E+02
35001.3194,1.3600E+02
35001.3229,1.3600E+02
35001.3264,1.3600E+02
35001.3299,1.3600E+02
35001.3333,1.3600E+02
35001.3368,1.3600E+02
35001.3403,1.3600E+02
35001.3437,1.3600E+02
35001.3472,1.3600E+02
35001.3507,1.3600E+02
35001.3542,1.3600E+02
35001.3576,1.3600E+02
35001.3611,1.3600E+02
35001.3646,1.3600E+02
35001.3681,1.3600E+02
35001.3715,1.3600E+02
35001.3750,1.3600E+02
35001.3785,1.3600E+02
35001.3819,1.3600E+02
35001.3854,1.3600E+02
35001.3889,1.3600E+02
35001.3924,1.3600E+02
35001.3958,1.3600E+02
35001.3993,1.3600E+02
35001.4028,1.3600E+02
35001.4062,1.3600E+02
35001.4097,1.3600E+02
35001.4132,1.3600E+02
35001.4167,1.3600E+02
35001.4201,1.3600E+02
35001.4236,1.3600E+02
35001.4271,1.3600E+02
35001.4306,1.3600E+02
35001.4340,1.3600E+02
35001.4375,1.3600E+02
35001.4410,1.3600E+02
35001.4444,1.3600E+02
35001.4479,1.3600E+02
35001.4514,1.3600E+02
35001.4549,1.3600E+02
35001.4583,1.3600E+02
35001.4618,1.3600E+02
35001.4653,1.3600E+02
35001.4687,1.3600E+02
35001.4722,1.3600E+02
35001.4757,1.3600E+02
35001.4792,1.3600E+02
35001.4826,1.3600E+02
35001.4861,1.3600E+02
35001.4896,1.3600E+02
35001.4931,1.3600E+02
35001.4965,1.3600E+02
35001.5000,1.3600E+02
35001.5035,1.3600E+02
35001.5069,1.3600E+02
35001.5104,1.3600E+02
35001.5139,1.3600E+02
35001.5174,1.3600E+02
35001.5208,1.3600E+02
35001.5243,1.3600E+02
35001.5278,1.3600E+02
35001.5312,1.3600E+02
35001.5347,1.3600E+02
35001.5382,1.3600E+02
35001.5417,1.3600E+02
35001.5451,1.3600E+02
35001.5486,1.3600E+02
35001.5521,1.3600E+02
35001.5556,1.3600E+02
35001.5590,1.3600E+02
35001.5625,1.3600E+02
35001.5660,1.3600E+02
35001.5694,1.3600E+02
35001.5729,1.3600E+02
35001.5764,1.3600E+02
35001.5799,1.3600E+02
35001.5833,1.3600E+02
35001.5868,1.3600E+02
35001.5903,1.3600E+02
35001.5937,1.3600E+02
35001.5972,1.3600E+02
35001.6007,1.3600E+02
35001.6042,1.3600E+02
35001.6076,1.3600E+02
35001.6111,1.3600E+02
35001.6146,1.3600E+02
35001.6181,1.3600E+02
35001.6215,1.3600E+02
35001.6250,1.3600E+02
35001.6285,1.3600E+02
35001.6319,1.3600E+02
35001.6354,1.3600E+02
35001.6389,1.3600E+02
35001.6424,1.3600E+02
35001.6458,1.3600E+02
35001.6493,1.3600E+02
35001.6528,1.3600E+02
35001.6562,1.3600E+02
35001.6597,1.3600E+02
35001.6632,1.3600E+02
35001.6667,1.3600E+02
35001.6701,1.3600E+02
35001.6736,1.3600E+02
35001.6771,1.3600E+02
35001.6806,1.3600E+02
35001.6840,1.3600E+02
35001.6875,1.3600E+02
35001.6910,1.3600E+02
35001.6944,1.3600E+02
35001.6979,1.3600E+02
35001.7014,1.3600E+02
35001.7049,1.3600E+02
35001.7083,1.3600E+02
35001.7118,1.3600E+02
35001.7153,1.3600E+02
35001.7187,1.3600E+02
35001.7222,1.3600E+02
35001.7257,1.3600E+02
35001.7292,1.3600E+02
35001.7326,1.3600E+02
35001.7361,1.3600E+02
35001.7396,1.3600E+02
35001.7431,1.3600E+02
35001.7465,1.3600E+02
35001.7500,1.3600E+02
35001.7535,1.3600E+02
35001.7569,1.3600E+02
35001.7604,1.3600E+02
